dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/short,chronos_bolt_base,16877888.85333333,16877888.85333333,1702.1126388888888,5.53329015048935,0.08211168924967448,0.08005557584956961,39.43579593148739,4108.270786271681,0.1584395829988595,0.06564368094328672,0.05395849089403873,Web/CloudOps,2
bizitobs_application/10S/medium,chronos_bolt_base,35344783.36,35344783.36,2822.6954166666665,9.720338198562825,0.13773539225260417,0.1345226148736245,226.3083648533444,5945.147883778838,0.23344845978027876,0.11083894132349877,0.10350151594714695,Web/CloudOps,2
bizitobs_application/10S/long,chronos_bolt_base,34854536.53333333,34854536.53333333,3006.7405555555556,10.483795009200705,0.1462328084309896,0.14441634488552052,267.42175978383034,5903.7730760364875,0.2276849294873275,0.11595796494230355,0.10897604178204418,Web/CloudOps,2
bizitobs_l2c/5T/short,chronos_bolt_base,21.173330543154762,21.173330543154762,2.6970708937872026,0.27818501733369816,0.14353496583391365,0.20942237367614558,2.944857298433126,4.601448743945189,0.15803237512598703,0.09262833141175533,0.07435318763842519,Web/CloudOps,7
bizitobs_l2c/5T/medium,chronos_bolt_base,182.57725340136054,182.57725340136054,8.885804634353741,0.877710033659976,0.5727670072698932,0.8801192946772959,26.376949038618342,13.51211506024725,0.7109359564262442,0.46752399518313714,0.44544113455543244,Web/CloudOps,7
bizitobs_l2c/5T/long,chronos_bolt_base,377.6365873015873,377.6365873015873,13.468461061507936,1.240735139133242,0.8981671308119056,1.2430966950441658,42.97963839192002,19.43287388168789,1.0911268162581333,0.7562339532182131,0.7380396160871296,Web/CloudOps,7
jena_weather/10T/short,chronos_bolt_base,990.0175595238095,990.0175595238095,6.454504588293651,0.3055144917869973,0.330296950202571,0.5684653782684453,2.365053327702828,31.464544483017857,0.19543425642621398,0.04009056306197535,0.03264516296478579,Nature,21
jena_weather/10T/medium,chronos_bolt_base,1674.3982683982683,1674.3982683982683,10.41922123015873,0.610204664324259,0.7352407092245915,0.6723962638410822,14.138298711986847,40.919411877472875,0.25112173116130515,0.06394258256948522,0.057118922568831415,Nature,21
jena_weather/10T/long,chronos_bolt_base,1990.740476190476,1990.740476190476,11.394972511574075,0.6566836391591423,0.7498807677789906,0.6817800793462275,17.292167307377316,44.617714824836966,0.2730234476782145,0.06972779071098034,0.0638386486050117,Nature,21
bizitobs_service/10S/short,chronos_bolt_base,74228.2565079365,74228.2565079365,82.12294312169313,3.2985983515879305,0.5084861214451059,0.12041769411458217,23.68870981152593,272.4486309525825,0.20183865577347637,0.06083930166905131,0.05002102155035546,Web/CloudOps,2
bizitobs_service/10S/medium,chronos_bolt_base,178641.29015873015,178641.29015873015,135.3143253968254,4.957952082373729,0.8084902808779761,0.1691110495101504,118.26656341616324,422.65978062589556,0.3181037109231593,0.10184074999057727,0.09521576175402238,Web/CloudOps,2
bizitobs_service/10S/long,chronos_bolt_base,250279.144973545,250279.144973545,159.24301587301588,5.280269570358127,1.0918992848875662,0.18794745256021358,135.9893750885369,500.2790670951014,0.3706227264238229,0.1179723170299866,0.11193060199965818,Web/CloudOps,2
bizitobs_l2c/H/short,chronos_bolt_base,56.59241691468254,56.59241691468254,4.47556898328993,0.4322697326241698,0.39512725756894485,0.6075935817340641,2.8243554355343297,7.522793159105369,0.4054978174820326,0.24124463032959045,0.18900315071248547,Web/CloudOps,7
bizitobs_l2c/H/medium,chronos_bolt_base,74.00341796875,74.00341796875,4.9346540178571425,0.49520641816527206,0.4992526406374156,0.7555233808903313,6.702804962755143,8.602523930146896,0.5208958904538966,0.29880079609028215,0.2544303349836439,Web/CloudOps,7
bizitobs_l2c/H/long,chronos_bolt_base,77.4610367063492,77.4610367063492,5.131363932291666,0.555710515283762,0.6086717150326638,0.7860787453092823,10.303877549234343,8.801195186243127,0.5376024037893098,0.31343851901270164,0.27763609203353595,Web/CloudOps,7
solar/D/short,chronos_bolt_base,138322.4681265207,138322.4681265207,251.54411496350366,0.9817721308069799,1.1363861009732361,0.42146512710525663,5.836721024424031,371.91728667342244,0.5372938025879144,0.36339556909606413,0.28736268947383037,Energy,1
bitbrains_fast_storage/5T/short,chronos_bolt_base,2142731.7707556016,2142731.7707556016,184.89402438639794,0.7448934658843656,2.367742121731585,0.7632004226026557,15.060323650764149,1463.8072860713605,4.5959928000524615,0.5805215023442524,0.45354238327466095,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,chronos_bolt_base,3324051.995396724,3324051.995396724,278.5230819326561,1.0476966240566046,3.800107080317874,0.8246214368956165,32.33191752526393,1823.1982874599032,5.539380033703999,0.8462300615326732,0.7554388288208161,Web/CloudOps,2
bitbrains_fast_storage/5T/long,chronos_bolt_base,3353844.812592539,3353844.812592539,301.9999015205908,0.937855515297511,2.6844303962410234,0.8425948282308349,29.50991442271992,1831.3505433402254,4.839712720695264,0.7980955750678409,0.7475071703444818,Web/CloudOps,2
bitbrains_rnd/H/short,chronos_bolt_base,1862107.1401901026,1862107.1401901026,167.78725331401048,5.8969307002196185,2.0930757858268105,0.579010237401965,204.74329227812905,1364.5904661069937,5.972115791889295,0.7343191456210598,0.6242384373189478,Web/CloudOps,2
bitbrains_fast_storage/H/short,chronos_bolt_base,4154865.8256689715,4154865.8256689715,370.1142456879932,1.0698663929224599,3.62349523885499,0.6006320424222853,20.343709148027255,2038.3487988244237,5.809956121620102,1.054945811371406,0.7740167749445399,Web/CloudOps,2
bitbrains_rnd/5T/short,chronos_bolt_base,1671863.6156888658,1671863.6156888658,127.42979071040024,1.7053978288334395,1.4627430302043605,0.7073044842319288,54.50279297361102,1293.0056518394906,5.290605804369825,0.5214059114304367,0.43825819713541203,Web/CloudOps,2
bitbrains_rnd/5T/medium,chronos_bolt_base,2281604.958724378,2281604.958724378,149.5336092982889,4.449085405528738,0.4434713667501319,0.7814971838917866,168.73618773017617,1510.4982485009302,6.355435977813396,0.6291641061946269,0.6048792700384039,Web/CloudOps,2
bitbrains_rnd/5T/long,chronos_bolt_base,2883436.299668921,2883436.299668921,204.5429063121485,3.3973526264266374,2.5099572580898393,0.760693420019281,127.21299477366132,1698.0684025294509,6.504917764190803,0.7835578253662449,0.7561435555360407,Web/CloudOps,2
jena_weather/H/short,chronos_bolt_base,1110.078947368421,1110.078947368421,8.53975596543442,0.5358097360731153,1.2791543147571212,0.6135756561669494,4.514846688632766,33.31784727992523,0.20423625892932826,0.052348154305894096,0.042202632971771875,Nature,21
jena_weather/H/medium,chronos_bolt_base,1162.4694444444444,1162.4694444444444,10.12880626860119,0.747285365968065,1.9619997320835598,0.6672632150971437,12.983835111910945,34.09500615111316,0.2086333894935125,0.06197996193270696,0.05399705842826599,Nature,21
jena_weather/H/long,chronos_bolt_base,1147.0642857142857,1147.0642857142857,11.477625868055556,1.0280937200516442,2.285067013748993,0.6697265449623643,24.7266961964735,33.868337510339735,0.20392491541282642,0.06910802408204238,0.061638319249669005,Nature,21
solar/W/short,chronos_bolt_base,1240030.8321167883,1240030.8321167883,898.2242244525547,0.9796914795411152,0.2002263452014784,0.17852032343370158,6.657218053272574,1113.5667165090686,0.2273068073814169,0.1833500209246751,0.13257860860994722,Energy,1
